,Name,Status,Population,Address,location,point,latitude,longitude,altitude
0,Arima,Borough,33606,"Arima, Trinidad and Tobago","Arima, 300831, Trinidad and Tobago","(10.6372057, -61.2829762, 0.0)",10.6372057,-61.2829762,0.0
1,Arima Proper,Urban Community,9082,"Arima Proper, Trinidad and Tobago",,,,,
2,Calvary Hill,Urban Community,1330,"Calvary Hill, Trinidad and Tobago","Calvary Hill, Saint Ann's, Port of Spain, 190130, Trinidad and Tobago","(10.7097744, -61.5090987, 0.0)",10.7097744,-61.5090987,0.0
3,Carib Homes,Urban Community,585,"Carib Homes, Trinidad and Tobago",,,,,
4,Malabar,Urban Community,11130,"Malabar, Trinidad and Tobago","Malabar, Arima, 300831, Trinidad and Tobago","(10.6196194, -61.2774636, 0.0)",10.6196194,-61.2774636,0.0
5,Maturita [↑ partly also in Tunapuna/Piarco],Urban Community,3650,"Maturita [↑ partly also in Tunapuna/Piarco], Trinidad and Tobago",,,,,
6,Mount Pleasant,Urban Community,1240,"Mount Pleasant, Trinidad and Tobago","Mount Pleasant, Scarborough, Tobago, Trinidad and Tobago","(11.1670196, -60.7929427, 0.0)",11.1670196,-60.7929427,0.0
7,O'Meara Road,Urban Community,2593,"O'Meara Road, Trinidad and Tobago","O'Meara Road, Greenvale Park, La Horquetta, San Raphael, 351443, Trinidad and Tobago","(10.5925226, -61.294142, 0.0)",10.5925226,-61.294142,0.0
8,Tumpuna Road,Urban Community,6355,"Tumpuna Road, Trinidad and Tobago","Tumpuna Road, San Raphael, Couva-Tabaquite-Talparo, 300831, Trinidad and Tobago","(10.5869722, -61.235245, 0.0)",10.5869722,-61.235245,0.0
9,Chaguanas,Borough,83516,"Chaguanas, Trinidad and Tobago","Chaguanas, Trinidad and Tobago","(10.5346868, -61.415520997957955, 0.0)",10.5346868,-61.415520997957955,0.0
10,Chaguanas Proper,Urban Community,2610,"Chaguanas Proper, Trinidad and Tobago",,,,,
11,Charlieville,Urban Community,7462,"Charlieville, Trinidad and Tobago","Charlieville, Chaguanas, 00000, Trinidad and Tobago","(10.5622706, -61.4137844, 0.0)",10.5622706,-61.4137844,0.0
12,Edinburgh 500,Urban Community,8462,"Edinburgh 500, Trinidad and Tobago","Edinburgh Village, Chaguanas, 500125, Trinidad and Tobago","(10.5078428, -61.408341, 0.0)",10.5078428,-61.408341,0.0
